"Matching.Attribute","Matching.Attribute.1","name","nms.score.avg","nms.score.EE","nms.score.RE","selected","shared name"
"ZNF696","ZNF696","ZNF696","0.01291408587565645","0.0258281717513129","0.0","false","ZNF696"
"CYP2R1","CYP2R1","CYP2R1","0.002263319888672785","0.00452663977734557","0.0","false","CYP2R1"
"KIF24","KIF24","KIF24","0.00820066966535645","0.0164013393307129","0.0","false","KIF24"
"ZNF565","ZNF565","ZNF565",,,"0.0","false","ZNF565"
"NCOR2","NCOR2","NCOR2","0.0","0.0","0.0","false","NCOR2"
"FAM110D","FAM110D","FAM110D","0.003720553658689835","0.00744110731737967","0.0","false","FAM110D"
"FITM2","FITM2","FITM2","0.00601481901033085","0.0120296380206617","0.0","false","FITM2"
"GPN1","GPN1","GPN1","0.0","0.0","0.0","false","GPN1"
"FICD","FICD","FICD","0.001820837988071855","0.00364167597614371","0.0","false","FICD"
"FOXO6","FOXO6","FOXO6","0.0","0.0","0.0","false","FOXO6"
"PFDN6","PFDN6","PFDN6","0.00619936625442535","0.0123987325088507","0.0","false","PFDN6"
"PPP1R11","PPP1R11","PPP1R11","3.075787401574805E-5","6.15157480314961E-5","0.0","false","PPP1R11"
"CPT1B","CPT1B","CPT1B","3.690944881889765E-4","7.38188976377953E-4","0.0","false","CPT1B"
"DNAJC27-AS1","DNAJC27-AS1","DNAJC27-AS1","0.00116241781835214","0.00232483563670428","0.0","false","DNAJC27-AS1"
"FAM174C","FAM174C","FAM174C","3.383366141732285E-4","6.76673228346457E-4","0.0","false","FAM174C"
"LINC02609","LINC02609","LINC02609","0.0","0.0","0.0","false","LINC02609"
"SSR4P1","SSR4P1","SSR4P1","6.1515748031496E-4","0.00123031496062992","0.0","false","SSR4P1"
"PDXP","PDXP","PDXP","0.0","0.0","0.0","false","PDXP"
"ENSG00000243155.1","ENSG00000243155.1","ENSG00000243155.1","0.0","0.0","0.0","false","ENSG00000243155.1"
"TMEM199","TMEM199","TMEM199","2.46062992125984E-4","4.92125984251968E-4","0.0","false","TMEM199"
"MAILR","MAILR","MAILR","5.22883858267715E-4","0.00104576771653543","0.0","false","MAILR"
