"tissue","assay","feature_id","logFC_precawg","CI.L_precawg","CI.R_precawg","adj_p_value_precawg","randomGroupCode","Timepoint","platform","logFC_sex_diff","CI.L_sex_diff","CI.R_sex_diff","adj_p_value_sex_diff","entrez_gene","gene_symbol","ensembl_gene","uniprot","refmet_name","refmet_id","kegg_id"
"blood","transcript-rna-seq","ENSG00000135709.14",0.263081821828569,0.145527140034031,0.380636503623108,0.000241635868733099,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.264651426016846,-0.401476180771926,-0.127826671261765,0.00488872999540437,"9764","KIAA0513","ENSG00000135709",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000117115.13",0.430683470886887,0.238189185202053,0.623177756571721,0.000242831092018518,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.477767859617572,-0.696306966607312,-0.259228752627832,0.00156377987390197,"11240","PADI2","ENSG00000117115",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000215788.11",-0.374130820248009,-0.541405597485903,-0.206856043010115,0.000243700068423069,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.345787531894957,0.160356651408654,0.53121841238126,0.00667894841583058,"8718","TNFRSF25","ENSG00000215788",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000175061.19",-0.24936429717927,-0.360869325931395,-0.137859268427146,0.000244039217885189,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.22932600547209,0.0986723892556553,0.359979621688524,0.0116267529894193,"125144","SNHG29","ENSG00000175061",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000134954.14",-0.331019467564409,-0.479101786117437,-0.182937149011381,0.000245296750467961,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.308063403170038,0.146098888373476,0.470027917966599,0.0056093076262167,"2113","ETS1","ENSG00000134954",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000089169.15",0.643384573568839,0.355565056237806,0.931204090899872,0.000245863500365451,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.462526837265511,-0.736448155674609,-0.188605518856413,0.0158083777650718,"22895","RPH3A","ENSG00000089169",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000054523.19",0.427571144972942,0.236224905763001,0.618917384182884,0.000246644159863498,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.425234860590628,-0.641050728738989,-0.209418992442267,0.00405051145711394,"23095","KIF1B","ENSG00000054523",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000274536.8",0.468282705935824,0.258665810772874,0.677899601098774,0.000247477079566499,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.511108771683821,-0.736347877241453,-0.285869666126189,0.00113184393656794,"115891964","MIR223HG","ENSG00000274536",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000005007.13",0.25829461530882,0.142599741727433,0.373989488890207,0.000249831452150706,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.239261835899532,-0.37157635982744,-0.106947311971623,0.0089131926249116,"5976","UPF1","ENSG00000005007",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000064547.14",0.404433291744388,0.223268782052121,0.585597801436655,0.000250366725141147,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.327378756336723,-0.52581877316918,-0.128938739504266,0.0189878470463986,"9170","LPAR2","ENSG00000064547",NA,NA,NA,NA
