"uniprot","feature_id","gene_symbol","name","n_measure","n_tissue","n_cell","n_common","hacells_label","emblcells_label","cell label score","cell label","haatlas_label","emblatlas_label","mspatlas_label","msratlas_label","tissue label score","tissue label","Gobal label score (GLS)","Global label"
"P14780","OID21103","MMP9","matrix metallopeptidase 9",6,4,2,0,"neutrophils","macrophage",2,"macrophages.neutrophils","spleen","bonemarrow","spleen","spleen",3,"spleen",3,"spleen"
"P15090","OID20245","FABP4","fatty acid binding protein 4",6,4,2,1,"macrophages,monocytes","macrophage",1.45,"macrophages","pancreas","adiposetissue","muscle","common",3,"adiposetissue.muscle.pancreas",3,"adiposetissue.muscle.pancreas"
"P15289","OID21138","ARSA","arylsulfatase A",6,4,2,3,"common","bcell,macrophage",0.9,"bcell.macrophages","stomach","common","brain,liver","common",1,"stomach",1,"common"
"P15907","OID20302","ST6GAL1","ST6 beta-galactoside alpha-2,6-sialyltransferase 1",6,4,2,1,"common","bcell",1,"bcell","liver","liver","liver","liver",4,"liver",4,"liver"
"P17948","OID21301","FLT1","fms related receptor tyrosine kinase 1",5,4,1,1,"","macrophage",1,"macrophages","lung","adiposetissue","artery","common",3,"adiposetissue.artery.lung",3,"adiposetissue.artery.lung"
"P19878","OID20567","NCF2","neutrophil cytosolic factor 2",6,4,2,1,"macrophages,monocytes","macrophage",1.45,"macrophages","bonemarrow,spleen","spleen","lung,spleen","common",1.9,"spleen",1.9,"spleen"
"P20160","OID20309","AZU1","azurocidin 1",6,4,2,0,"monocytes","monocytes,neutrophils",1.45,"monocytes","bonemarrow,spleen","bonemarrow","spleen","spleen",2.45,"spleen",2.45,"spleen"
"P20273","OID20637","CD22","CD22 molecule",6,4,2,2,"bcell,monocytes","bcell",1.45,"bcell","common","ovary","spleen","common",2,"ovary.spleen",2,"ovary.spleen"
"P21709","OID20677","EPHA1","EPH receptor A1",3,2,1,1,"","tcellcd4,tcellcd8",0.9,"tcellcd4.tcellcd8","","esophagus","","common",1,"esophagus",1,"esophagus"
"P21757","OID21063","MSR1","macrophage scavenger receptor 1",6,4,2,2,"common","macrophage",1,"macrophages","stomach","lung","nerve","common",3,"lung.nerve.stomach",3,"lung.nerve.stomach"
"P22223","OID21008","CDH3","cadherin 3",5,4,1,0,"","monocytes,neutrophils",0.9,"monocytes.neutrophils","spleen","ovary","esophagus","esophagus,skin",1.45,"esophagus",1.45,"esophagus"
"P22466","OID20727","GAL","galanin and GMAP prepropeptide",3,2,1,0,"","macrophage",1,"macrophages","","colon","","colon,esophagus",1.45,"colon",1.45,"colon"
"P22748","OID20241","CA4","carbonic anhydrase 4",6,4,2,1,"neutrophils","neutrophils",2,"neutrophils","lung","colon","brain","common",3,"brain.colon.lung",3,"brain.colon.lung"
"P22749","OID21132","GNLY","granulysin",6,4,2,0,"tcellcd8","tcellcd8",2,"tcellcd8","bonemarrow","spleen","heart","spleen",2,"spleen",2,"tcellcd8"
"P22894","OID21019","MMP8","matrix metallopeptidase 8",6,4,2,0,"neutrophils","neutrophils",2,"neutrophils","spleen","bonemarrow","spleen","spleen",3,"spleen",3,"spleen"
"P24158","OID20329","PRTN3","proteinase 3",6,4,2,0,"monocytes,neutrophils","monocytes",1.45,"monocytes","spleen","bonemarrow","spleen","spleen",3,"spleen",3,"spleen"
"P24387","OID20747","CRHBP","corticotropin releasing hormone binding protein",2,1,1,1,"","common",0,"","","kidney,liver","","",0.9,"kidney.liver",0.9,"kidney.liver"
"P26440","OID20833","IVD","isovaleryl-CoA dehydrogenase",6,4,2,2,"common","monocytes",1,"monocytes","liver","liver","liver","common",3,"liver",3,"liver"
"P27352","OID20179","CBLIF","cobalamin binding intrinsic factor",4,4,0,0,"","",0,"","stomach","stomach","stomach","stomach",4,"stomach",4,"stomach"
"P27695","OID21434","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1",6,4,2,5,"common","common",0,"","common","common","ovary","common",1,"ovary",1,"common"
"P28908","OID21049","TNFRSF8","TNF receptor superfamily member 8",4,3,1,1,"","neutrophils",1,"neutrophils","","adiposetissue","skin","common",2,"adiposetissue.skin",2,"adiposetissue.skin"
"P29460","OID20666","IL12B","interleukin 12B",1,1,0,0,"","",0,"","","colon,spleen","","",0.9,"colon.spleen",0.9,"colon.spleen"
"P29474","OID20834","NOS3","nitric oxide synthase 3",6,4,2,1,"tcellcd8","tcellcd4",2,"tcellcd4.tcellcd8","spleen","spleen","spleen","common",3,"spleen",3,"spleen"
"P30203","OID20649","CD6","CD6 molecule",6,4,2,1,"tcellcd8","tcellcd4,tcellcd8",1.45,"tcellcd8","common","bonemarrow,spleen","muscle","spleen",1.45,"spleen",1.45,"tcellcd8"
"P31146","OID20286","CORO1A","coronin 1A",6,4,2,2,"common","neutrophils",1,"neutrophils","bonemarrow,spleen","bonemarrow,spleen","brain,spleen","common",1.35,"spleen",1.35,"spleen"
"P31949","OID20130","S100A11","S100 calcium binding protein A11",6,4,2,2,"macrophages","macrophage,neutrophils",1.45,"macrophages","adiposetissue,stomach","esophagus","common","common",1,"esophagus",1.45,"macrophages"
"P31994","OID21215","FCGR2B","Fc gamma receptor IIb",6,4,2,1,"platelets","bcell",2,"bcell.platelets","common","spleen","liver","lung,spleen",1.45,"spleen",2,"bcell.platelets"
"P31997","OID20102","CEACAM8","CEA cell adhesion molecule 8",6,4,2,0,"neutrophils","neutrophils",2,"neutrophils","bonemarrow","bonemarrow","spleen","spleen",4,"bonemarrow.spleen",4,"bonemarrow.spleen"
"P33241","OID20530","LSP1","lymphocyte specific protein 1",6,4,2,1,"tcellcd4,tcellcd8","macrophage,monocytes",1.8,"common","spleen","spleen","spleen","common",3,"spleen",3,"spleen"
